Ref,Val,Package,PosX,PosY,Rot,Side
"R16","510k","R_0603_1608Metric",46.709000,48.342200,180.000000,top
"R17","100k","R_0603_1608Metric",46.709000,46.818200,0.000000,top
"R18","47K","R_0603_1608Metric",49.759300,48.078000,180.000000,top
"R19","200k","R_0603_1608Metric",36.780892,37.328169,90.000000,top
"R20","2.2k","R_0603_1608Metric",40.844892,32.108169,0.000000,top
"R21","2.2k","R_0603_1608Metric",40.844892,33.632169,0.000000,top
"R22","100","R_0603_1608Metric",18.504400,37.513700,0.000000,top
"R24","100","R_0603_1608Metric",27.000000,41.125000,-90.000000,top
"R25","100","R_0603_1608Metric",27.711400,37.863200,180.000000,top
"R27","0.39","R_0603_1608Metric",32.110000,9.100000,-90.000000,top
"R28","10k","R_0603_1608Metric",43.100000,15.200000,-90.000000,top
"R29","0.39","R_0603_1608Metric",50.300000,10.650000,0.000000,top
"R30","0.39","R_0603_1608Metric",30.600000,9.100000,-90.000000,top
"R31","10k","R_0603_1608Metric",31.800000,15.525000,-90.000000,top
"R41","10","R_0402_1005Metric",15.494800,49.296400,0.000000,top
"R42","10","R_0402_1005Metric",15.494800,46.248400,0.000000,top
"R43","200","R_0603_1608Metric",18.836400,53.084100,90.000000,top
"R44","5m","R_0805_2012Metric",19.398400,55.557900,180.000000,top
"R45","200","R_0603_1608Metric",20.359000,53.084100,90.000000,top
"R46","1k","R_0402_1005Metric",23.154400,46.213900,-90.000000,top
"R47","1k","R_0402_1005Metric",23.154400,43.203500,-90.000000,top
"R48","2k","R_0603_1608Metric",24.678400,45.552131,-90.000000,top
"R49","100k","R_0603_1608Metric",31.788599,50.693200,-90.000000,top
"R50","1k","R_0402_1005Metric",36.360599,50.693200,90.000000,top
"R51","10m","R_1206_3216Metric",60.136892,51.691169,90.000000,top
"R52","0","R_0805_2012Metric",52.439329,53.530000,-90.000000,top
"R53","113K","R_0603_1608Metric",66.517800,44.325000,90.000000,top
"R54","0","R_0805_2012Metric",50.479329,53.537500,-90.000000,top
"R55","14k","R_0603_1608Metric",63.469800,44.655700,90.000000,top
"R56","100","R_0603_1608Metric",31.910000,66.950469,-90.000000,top
"R58","100","R_0603_1608Metric",54.665000,50.510000,180.000000,top
"R59","100k","R_0603_1608Metric",56.136892,41.491169,90.000000,top
"R60","100k","R_0603_1608Metric",57.661892,41.491169,90.000000,top
"R61","100k","R_0603_1608Metric",59.186892,41.491169,90.000000,top
"R62","16k","R_0603_1608Metric",60.486892,44.041169,0.000000,top
"R63","5.1k","R_0603_1608Metric",60.486892,48.616169,0.000000,top
"R64","5.1k","R_0603_1608Metric",60.486892,47.091169,0.000000,top
"R66","DNP","R_0603_1608Metric",56.730000,56.970000,180.000000,top
"R67","0","R_0805_2012Metric",42.150000,52.398213,180.000000,top
"R68","0","R_0805_2012Metric",42.150000,54.350000,180.000000,top
"R69","0","R_0805_2012Metric",46.596892,35.826169,-90.000000,top
"R70","0","R_0805_2012Metric",44.596892,35.821169,-90.000000,top
"R71","0","R_0805_2012Metric",52.430000,26.300000,180.000000,top
"R72","0","R_0805_2012Metric",52.430000,28.310000,180.000000,top
"R76","0","R_0603_1608Metric",46.700000,45.300000,180.000000,top
"R77","0","R_0805_2012Metric",26.650000,55.150000,180.000000,top
"R78","0","R_0805_2012Metric",26.637500,53.225000,180.000000,top
"R79","0","R_0603_1608Metric",29.400000,51.350000,180.000000,top
"R80","0","R_0603_1608Metric",29.400000,49.825000,180.000000,top
"R81","0","R_0603_1608Metric",33.400000,50.700000,90.000000,top
"R82","0","R_0603_1608Metric",35.200000,37.300000,90.000000,top
"R83","0","R_0603_1608Metric",71.400000,47.500000,180.000000,top
"R84","0","R_0603_1608Metric",32.200000,33.800000,90.000000,top
"R85","0","R_0603_1608Metric",30.200000,15.475000,-90.000000,top
"R86","0","R_0603_1608Metric",32.600000,39.600000,-90.000000,top
"R87","0","R_0603_1608Metric",30.200000,12.400000,-90.000000,top
"R88","0","R_0603_1608Metric",28.700000,12.400000,90.000000,top
"R89","100k","R_0603_1608Metric",60.200000,60.300000,0.000000,top
"R91","0","R_0603_1608Metric",69.600000,44.525000,90.000000,top
"R92","0","R_0603_1608Metric",63.200000,42.300000,180.000000,top
"R93","0","R_0603_1608Metric",62.055000,36.120000,0.000000,top
"R94","0","R_0603_1608Metric",73.850000,44.725000,90.000000,top
"R96","10k","R_0603_1608Metric",55.500000,66.350000,90.000000,top
"R97","100","R_0603_1608Metric",29.460000,66.975000,-90.000000,top
"R98","150k","R_0402_1005Metric",54.400000,63.200000,-90.000000,top
"R99","100k","R_0603_1608Metric",60.250000,63.300000,180.000000,top
"R100","220k","R_0402_1005Metric",54.300000,65.790000,90.000000,top
"R101","6.8k","R_0402_1005Metric",52.150000,65.250000,-90.000000,top
"R102","10k","R_0603_1608Metric",55.650000,61.850000,-90.000000,top
"R103","200","R_0603_1608Metric",37.350000,61.925000,-90.000000,top
"R104","200","R_0603_1608Metric",35.850000,61.925000,-90.000000,top
"R105","200","R_0603_1608Metric",34.350000,61.925000,-90.000000,top
"S2","PTS815 SJM 250 SMTR LFS","SW4_PTS815 SJM 250 SMTR LFS_CNK",2.700000,58.825000,-90.000000,top
"S3","JS202011JCQN","SW_JS202011JCQN",71.800000,53.000000,-90.000000,top
"TH2","100k","R_0402_1005Metric",54.450000,61.300000,90.000000,top
"TP1","SMD_0603","TestPoint_SMD_0603",2.150000,37.900000,90.000000,top
"TP2","SMD_0603","TestPoint_SMD_0603",2.150000,42.100000,90.000000,top
"TP9","SMD_0603","TestPoint_SMD_0603",68.400000,47.200000,90.000000,top
"TP10","SMD_0603","TestPoint_SMD_0603",12.300000,49.300000,90.000000,top
"TP11","SMD_0603","TestPoint_SMD_0603",2.650000,25.000000,-90.000000,top
"TP16","SMD_0603","TestPoint_SMD_0603",2.150000,35.800000,90.000000,top
"TP17","SMD_0603","TestPoint_SMD_0603",2.150000,40.000000,-90.000000,top
"TP18","SMD_0603","TestPoint_SMD_0603",36.400000,28.200000,180.000000,top
"TP19","SMD_0603","TestPoint_SMD_0603",38.800000,28.200000,180.000000,top
"TP20","SMD_0603","TestPoint_SMD_0603",78.000000,66.100000,0.000000,top
"TP21","SMD_0603","TestPoint_SMD_0603",75.650000,66.100000,0.000000,top
"TP22","SMD_0603","TestPoint_SMD_0603",77.800000,68.600000,0.000000,top
"TP23","SMD_0603","TestPoint_SMD_0603",75.700000,68.600000,0.000000,top
"TP24","SMD_0603","TestPoint_SMD_0603",2.650000,27.150000,-90.000000,top
"TP26","SMD_0603","TestPoint_SMD_0603",23.030000,41.360000,180.000000,top
"TP27","SMD_0603","TestPoint_SMD_0603",20.800000,41.200000,180.000000,top
"TP33","SMD_0603","TestPoint_SMD_0603",13.400000,45.100000,90.000000,top
"U1","STWLC38JRM","BGA40C40P5X8_213X333X57",52.650000,59.910000,0.000000,top
"U2","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",8.289193,49.317569,90.000000,top
"U4","NCP3901","NCP3901",47.090000,51.044800,180.000000,top
"U5","LSF0102DCTR","SOP65P400X130-8N",37.542892,32.806669,90.000000,top
"U6","MAX77857BEWB+","WLP-35_7x5_2.828x2.028mm",45.543892,32.743169,0.000000,top
"U7","AP2502KTR-G1","SOT95P280X145-6N",26.310000,65.830000,90.000000,top
"U12","BQ27742YZFR-G1","Texas_Instruments-YZF0015-0-0-MFG",19.774800,47.496400,0.000000,top
"U13","MAX77976EFD+","MAX77976",34.430199,45.816400,0.000000,top
"U14","MAX77642ANA+","Maxim-N252B2-1-0-A-MFG",67.116800,40.439700,0.000000,top
"U18","AP33771DKZ-13","AP33771DKZ13",55.611892,46.441169,0.000000,top
"Y1","ECS-120-8-36-CKM-TR3","XTAL_ECS-120-8-36-CKM-TR3",11.820000,29.120000,-90.000000,top
